created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-05-16T13:50:39Z,76441,26.30,37.60,35.81,70.80,33.90,15
2023-05-16T13:51:00Z,76442,26.50,36.60,35.81,70.80,33.90,16
2023-05-16T13:51:19Z,76443,27.00,36.10,35.88,70.70,33.70,16
2023-05-16T13:51:40Z,76444,27.10,36.60,35.88,70.60,33.70,17
2023-05-16T13:52:00Z,76445,27.00,36.70,35.88,70.70,33.70,14
2023-05-16T13:52:19Z,76446,26.40,36.70,35.88,71.20,33.70,15
2023-05-16T13:52:39Z,76447,26.90,40.00,35.81,71.20,33.90,16
2023-05-16T13:52:59Z,76448,26.10,40.50,35.81,70.80,33.90,14
2023-05-16T13:53:18Z,76449,26.60,39.90,35.81,71.00,33.70,16
2023-05-16T13:53:39Z,76450,26.20,36.90,35.88,71.10,33.70,15
2023-05-16T13:53:58Z,76451,25.40,36.40,35.81,71.00,33.90,16
2023-05-16T13:54:39Z,76452,26.00,36.80,35.81,70.70,33.70,15
2023-05-16T13:54:58Z,76453,26.70,34.40,35.88,70.90,34.00,16
2023-05-16T13:55:18Z,76454,26.70,40.90,35.81,70.90,33.80,16
2023-05-16T13:55:38Z,76455,26.00,40.20,35.81,70.60,33.90,16
2023-05-16T13:55:57Z,76456,25.60,36.20,35.81,70.80,33.70,17
2023-05-16T13:56:19Z,76457,26.40,34.40,35.75,70.80,33.70,14
2023-05-16T13:56:38Z,76458,26.50,34.90,35.75,70.50,33.70,15
2023-05-16T13:56:58Z,76459,25.50,37.70,35.75,70.10,33.80,16
2023-05-16T13:57:17Z,76460,25.30,37.60,35.75,70.60,33.70,16
2023-05-16T13:57:56Z,76461,26.60,34.70,35.75,70.60,33.70,15
2023-05-16T13:58:16Z,76462,25.20,36.10,35.75,70.30,33.90,16
2023-05-16T13:58:36Z,76463,25.10,35.20,35.75,70.80,33.70,16
2023-05-16T13:58:55Z,76464,25.70,37.50,35.75,70.40,33.70,16
2023-05-16T13:59:15Z,76465,25.50,36.10,35.75,70.80,33.90,15
2023-05-16T13:59:35Z,76466,26.50,38.50,35.75,70.50,33.80,14
2023-05-16T13:59:55Z,76467,25.80,36.40,35.75,70.10,33.90,16
2023-05-16T14:00:15Z,76468,24.60,36.00,35.75,70.30,33.80,16
